Country;Population;Area
Albania;2,831,741;28,748
Andorra;68,403;468
Armenia;3,229,900;29,800
Austria;8,169,929;83,858
Azerbaijan;9,165,000;86,600
Belarus;9,458,000;207,560
Belgium;11,007,000;30,528
Bosnia and Herzegovina;3,843,126;51,129
Bulgaria;7,621,337;110,910
Croatia;4,437,460;56,542
Cyprus;788,457;9,251
Czech Republic;10,256,760;78,866
Denmark;5,564,219;43,094
Estonia;1,340,194;45,226
Finland;5,157,537;336,593
France;66,104,000;547,030
Georgia (country);4,661,473;69,700
Germany;80,716,000;357,021
Greece;11,123,034;131,957
Hungary;10,075,034;93,030
Iceland;307,261;103,000
Republic of Ireland;4,234,925;70,280
Italy;60,655,464;301,230
Kazakhstan;15,217,711;2,724,900
Latvia;2,067,900;64,589
Liechtenstein;32,842;160
Lithuania;2,988,400;65,200
Luxembourg;448,569;2,586
Republic of Macedonia;2,054,800;25,713
Malta;397,499;316
Moldova;4,434,547;33,843
Monaco;31,987;1.95
Montenegro;616,258;13,812
Netherlands;16,902,103;41,526
Norway;5,018,836;385,178
Poland;38,625,478;312,685
Portugal;10,409,995;91,568
Romania;21,698,181;238,391
Russia;143,975,923;17,075,400
San Marino;27,730;61
Serbia;7,120,666;88,361
Slovakia;5,422,366;48,845
Slovenia;2,050,189;20,273
Spain;47,059,533;504,851
Sweden;9,090,113;449,964
Switzerland;7,507,000;41,290
Turkey;77,695,904;783,562
Ukraine;45,360,000;603,700
United Kingdom;65,110,000;244,820
Vatican City;900;0.44