Country,2010,2011,2012,2013,2014,2015,2016
Germany,1245.13,1341.391,1308.342,1361.918,1348.544,1208.235,1230.726
UnitedKingdom,7387.553,8040.833,7615.949,8094.998,8156.035,7064.028,7249.019
France,3057.613,3270.802,3061.109,3165.424,3160.428,2726.487,2780.341
Italy,927.027,990.487,984.739,1027.809,1012.476,910.73,931.65
Spain,5709.385,6136.106,5749.319,5972.73,6007.317,5148.047,5245.131
Russia,731.539,774.729,788.605,821.918,806.108,733.642,751.186
Netherlands,4757.695,5201.505,4951.792,5315.262,5339.585,4671.486,4808.239
Turkey,0,0,0,0,0,0,0
Switzerland,3057.613,3270.802,3061.109,3165.424,3160.428,2726.487,2780.341
Sweden,4983.313,5438.438,5165.818,5529.223,5548.897,4860.8,5000.29
Poland,1245.13,1341.391,1308.342,1361.918,1348.544,1208.235,1230.726
Belgium,4788.022,5234.539,4984.062,5347.842,5371.541,4699.891,4844.405
Austria,1056.612,1129.934,1111.564,1161.233,1149.58,1031.366,1049.379
Norway,4983.313,5438.438,5165.818,5529.223,5548.897,4860.8,5000.29
Denmark,4663.501,5096.94,4843.541,5193.345,5208.091,4565.849,4698.506
Ireland,9796.962,10634.947,10240.24,10775.121,11101.181,9913.373,10009.978
Finland,1802.454,1960.285,1898.873,1990.101,2001.343,1774.147,1803.605
Portugal,7143.642,7632.074,7105.802,7366.206,7414.172,6347.762,6487.487
Greece,731.539,774.729,788.605,821.918,806.108,733.642,751.186
CzechRepublic,1038.114,1114.084,1101.591,1153.122,1142.886,1026.377,1045.457
Romania,780.321,830.528,841.218,876.435,861.945,782.599,800.55
Hungary,819.356,877.016,881.967,921.955,905.811,819.112,837.931
Slovakia,948.941,1016.463,1008.792,1055.379,1042.915,939.748,955.66
Ukraine,954.12,1023.659,1020.542,1076.018,1069.839,966.328,988.578
Luxembourg,4735.781,5175.529,4927.739,5287.692,5309.146,4642.468,4784.229
Croatia,867.416,928.315,928.255,969.96,955.317,861.88,881.722
Bulgaria,731.539,774.729,788.605,821.918,806.108,733.642,751.186
Belarus,1090.131,1186.966,1196.249,1255.59,1200.499,1056.852,1072.128
Slovenia,878.967,939.188,938.451,979.804,962.97,867.962,887.859
Lithuania,1721.658,1865.495,1805.029,1887.949,1895.188,1683.128,1704.227
Serbia,780.321,830.528,841.218,876.435,861.945,782.599,800.55
Latvia,1758.813,1908.973,1847.857,1934.375,1943.42,1724.395,1747.251
Estonia,1782.925,1937.461,1876.2,1965.213,1975.39,1751.443,1775.428
Cyprus,0,0,0,0,0,0,0
Iceland,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BosniaandHerzegovina,878.967,939.188,938.451,979.804,962.97,867.962,887.859
Albania,1031.695,1063.797,1038.268,1064.224,1044.131,928.962,945.78
Macedonia,1031.695,1063.797,1038.268,1064.224,1044.131,928.962,945.78
Malta,3057.613,3270.802,3061.109,3165.424,3160.428,2726.487,2780.341
Moldova,948.307,1016.641,1013.259,1068.033,1061.895,959.914,982.494
Montenegro,819.356,877.016,881.967,921.955,905.811,819.112,837.931
SanMarino,3057.613,3270.802,3061.109,3165.424,3160.428,2726.487,2780.341